OTU_ID	S1	S2	Taxonomy
89c2f5b8bab470cb28a712f0db462a550f94a3e7_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium;s__Lophodermium conigenum
c7a7535caba8b8f00f46eb3d6aafc60bcfe30ef7_3	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp
2f9aeae820571253b566c23b98017bfc6aecc012_2	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
902590e5dc046287201f882e2617ad28bf4cdc49_4	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae sedis;g__Phaeotheca;s__Phaeotheca sp
fe98ee85ad1a885277ba4c107c183cd0e2e28ba0_1	1	1	k__Fungi
7f6f14becb9cda10f82a350ba3e9df014dda65ce_1	1	1	k__Fungi
bd1172e1dd3927904fc18ce68ef9f517d534ea26_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Phaeothecoidea;s__Phaeothecoidea sp
2f44ba0bcaf3ab188fbd861fd0e72bf5c6b75287_2	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
e93681749e32d37df117dc63e47d8afe519e2deb_1	1	1	k__Fungi;p__Ascomycota
aa93e55ed96b31e98738fa9fcdb070db379ec6cd_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Phaeothecoidea;s__Phaeothecoidea sp
88704ca584e14c19ea587855205ee6eb5199421f_1	1	1	k__Fungi;p__Ascomycota
1c52aa4a865ad0ec538fc4776618c4a9c58e2346_1	1	1	k__Fungi;p__Ascomycota
6c31c6e5059ddb6ffe5e097ed3761fd704b882c8_1	1	1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Lulworthiales;f__Lulworthiaceae;g__Zalerion;s__Zalerion arboricola
fc8447e745cc017a6441a2ff0eea09473f6b4a8c_3	1	1	k__Fungi;p__Ascomycota;c__Incertae sedis;o__Incertae sedis;f__Incertae sedis;g__Knufia;s__Knufia sp
37be2946b2f0ccbc575dad60c111b9a900c36ad3_109	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
f660105b0ef0ea276a5b75ce995ace6c9a3ff7de_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
f11a9510790b374bd0a03007c6ffb3554f2d1885_4	1	1	k__Fungi
23fb35957645bf595e5da93cab0ec88db3d38556_1	1	1	k__Fungi;p__Ascomycota
fa092cfd3657f6d1829e52a3159712cb9ed8d246_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
ae207f5654a763e203d84d6fd3e940d324f5046f_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes
0ee310e3cfe957f013abda7d71e4c4b13b5503b5_6	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales
8217fa40081b870cc7431ed759cf17382b8bf596_4	1	1	k__Fungi
2d7aaf29d34ac17e962c79f457f4117944ca8924_1	1	1	k__Fungi
1a465469a82abd1ccc301de4a2f323e9d2c53ff8_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
c9dde1522ade4dc8482f907ea471128406f2fdb1_14	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp
33a96d182f1233a4a09151ce6a78c0e9eb3449d8_3	1	1	k__Fungi
eb754fb3203145cc1f1a858d8953a9325ff0b7ee_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
b255e7c3acbbd7af1201ae6312be1a2e147626ac_1	1	1	k__Fungi
8f5de97778654a13bee7cb684eed3522180e9787_3	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Cladosporium;s__Cladosporium halotolerans
90ca3d144bfb99307f1edb46daaa259d7eb5740c_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae sedis;g__Phaeotheca;s__Phaeotheca sp
52920e687938590f378ce0c3fea3558d8ebc2caf_3	1	1	k__Fungi
728a238a20661a9782d48ba95a6a9156aaa31d41_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae sp
11aaf663655e49f5ee73b18508ebc5b85b4b56ef_1	1	1	k__Fungi
783dea2e4a3b5cbe4fcc3109adbe2781d5e104ae_4	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Lachnellula
05d58ad31bbbfe2650c749a43ad9f7a8204be44c_3	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
d142ae3296dcb0a8ee1af6a53a9003a3a20c0a73_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
5eceb7157f0d78548139a2d0822f3ae2dedcaca3_1	1	1	k__Fungi
79759a5b8d024c16722b7594be34cd4b1c013ccb_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae sedis;g__Capnobotryella;s__Capnobotryella sp MA 4642
5893f1b916dce18aa11cc7328f26a47d22239565_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae
6bbdcd0a6eb79a1aefdbc4eaa31fb8eb13b83d41_1	1	1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Eutypa;s__Eutypa lata
1a26ff587ca9094618e240316b646afb8cbbe259_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium;s__Lophodermium seditiosum
a8e7643b6d0a656bb013e49239d37b7d310412d4_1	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes
1d224008c0fcf206281374c4e58511b15a313845_1	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Teloschistales;f__Teloschistaceae;g__Blastenia;s__Blastenia hungarica
2e41e56b09f76e94d8f06a10b20c8e4754f2412b_92	1	1	k__Fungi;p__Ascomycota
18235e54b0920f84fc465b0cc5163b84146f2a3b_6	1	1	k__Fungi
8888ee00a93cf8cb0de43ca0547dadb117e41e81_1	1	1	k__Fungi;p__Ascomycota
69aeab3a1a6014f1ad51349ea1aa4ff10d5bc5b9_1	1	1	k__Fungi;p__Ascomycota
19d0d26e5c370e1b2ef6b4f444b0e2414a4c18b1_15	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__Leotiomycetes sp BLD3
110e1c72b513d7790096461e89c915cac5192d8b_2	1	1	k__Fungi
373fd4e46d316f14909fd22a83bfc13dd7468531_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
1c5c666cfb8784127da2faa55e9b66f69638ebaf_12	1	1	k__Fungi
922ad823774ccfcd3e5792a02febf929094c6fe9_7	1	1	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Lecidella
d4ab131369548b9870681c8d4c295aee629bc8c9_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae sedis;f__Incertae sedis;g__Cyclaneusma;s__Cyclaneusma minus
2c4e21d5eafd0ce2ed33f4f6203e7791003274db_4	1	1	k__Fungi
2242668816271c9250cb6f43a45b8341573b28d4_2	1	1	k__Fungi;p__Ascomycota
d651298052882972026e9f2824ded0960a945abc_1	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes
4d26a2c133c54ae3ba3d1ea7da6f18ef5daea5ac_19	1	1	k__Fungi
4282ac0fc3f8928139984179fdb065e993f3d566_30	1	1	k__Fungi;p__Ascomycota
6b747377dd31fc8cc7536735d3e59c0b364d7f16_94	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae sedis;g__Phaeotheca;s__Phaeotheca sp
ddd1f19a124bb9375844c64742d24699810bc56c_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
d2c93f0a370dda10be1447c35b3bfc8241b1868e_1	1	1	k__Fungi
158899737b516a425977e953f044bdec57072700_1	1	1	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__fungal sp TRN287
c65e8422145cd3d97ab55aad84de02e2a8f509e0_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
3dac8a33fb1a534cdf2d8825fc3e796ed05b783c_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae
54111e135ee395e6fcdd6b819334428bf644e81f_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
ceaaeb5e850c0ea1cac678895dfa2a747f5b5e3b_1	1	1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales
ea3d988cb19ce090e523fe0fec4d2fe54ad68588_1	1	1	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__fungal sp TRN287
9c31f0251edd389f07593838bc03be044cb6a30b_9	1	1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__unidentified;g__unidentified;s__Rhytismatales sp
5dc05367027750a8cb92f4ed32c6ba3fa6ad26b6_1	1	1	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phaeomoniella
5dac84548ad38a37be1e0c83abc939748c86e4e1_1	1	1	k__Fungi;p__Ascomycota
